Location,Postings,Latitude,Longitude
"Hollister, CA",1,36.852671,-121.40259
"San Gabriel, CA",1,34.094609,-118.098412
San Francisco Bay Area,7,37.742389,-122.419949
"Escondido, CA",1,33.2,-117.1
"Fremont, CA",9,37.551454,-121.980465
"Phoenix, AZ",5,33.4655,-112.1698
"Boston, MA",15,42.283844,-71.128577
"San Jose, CA",8,37.30178,-121.85786
"Auburn Hills, MI",1,42.6481,-83.2452
"Arlington, VA",3,37.22653,-76.00132
"San Francisco, CA",20,37.782881,-122.511448
"Reston, VA",1,38.96872,-77.3411
"Austin, Texas Metropolitan Area",7,E,E
"Birmingham, AL",3,33.522,-86.8496
"Seattle, WA",14,47.60621,-122.33207
"Carmel, IN",1,39.930972,-86.152284
Nashville Metropolitan Area,1,36.15728,-86.76639
"Pennsylvania, United States",1,26.01232,-81.12841
"Charlotte, NC",17,35.18526,-80.886227
United States,22,39.76,-98.5
"Fairfax, VA",3,38.888305,-77.380434
"San Rafael, CA",1,34.15973,-118.23369
"Schenectady, NY",1,42.784092,-73.971176
New York City Metropolitan Area,12,40.757,-73.9718
"Berkeley Heights, NJ",1,40.679532,-74.430621
"Austin, TX",10,30.272059,-97.73785
"Columbus, OH",5,39.930551,-82.832774
"West Fargo, ND",1,46.876138,-96.883846
"Weehawken, NJ",1,40.76955,-74.02042
"Willowbrook, IL",1,41.457296,-87.538525
"Nebraska, United States",1,26.01232,-81.12841
"Denver, CO",14,32.968657,-102.830376
Greater Philadelphia,1,43.40778,-83.93611
"Los Angeles, CA",10,34.066,-118.254
"Massachusetts, United States",1,26.01232,-81.12841
"Redwood City, CA",1,37.4717,-122.2149
"Pleasanton, CA",2,37.638161,-121.896057
"Winter Park, FL",1,28.59823,-81.32715
Raleigh-Durham-Chapel Hill Area,1,35.910256,-78.982213
"Atlanta, GA",16,33.8127,-84.3665
"Corona, CA",1,33.871268,-117.549581
"Washington, DC",9,38.82652,-77.01712
"Fort Washington, PA",1,40.140076,-75.19067
"San Mateo County, CA",1,37.56438,-122.35164
"Missouri, United States",2,26.01232,-81.12841
"Milwaukee, WI",3,43.194103,-88.126399
"Scottsdale, AZ",1,33.49591,-111.93153
"San Diego, CA",3,32.712825,-117.141159
"Dublin, OH",1,40.101892,-83.166269
"Plano, TX",5,33.008144,-96.752107
"Sacramento, CA",3,38.572982,-121.480857
"Houston, TX",9,29.9398,-95.4112
"Salt Lake City, UT",5,40.7172,-111.8882
"New York, NY",40,40.808982,-73.965465
Los Angeles Metropolitan Area,1,19.406709,-99.166774
"San Antonio, TX",2,29.369,-98.455
"Nashville, TN",11,36.08485,-86.70102
"Sunnyvale, CA",8,37.40966,-122.0022
"Jersey City, NJ",5,40.710452,-74.072108
"Irving, TX",5,32.81331,-96.944384
"Alpharetta, GA",6,34.092667,-84.239672
"Vance, AL",1,40.159985,-80.197449
"Westminster, CO",2,39.868888,-105.04738
"Morristown, NJ",1,40.425456,-74.245166
"Norcross, GA",1,33.903576,-84.205429
"Teaneck, NJ",1,40.8976,-74.01597
"Raleigh, NC",6,35.777437,-78.63743
"Cambridge, MA",3,42.3628,-71.0854
Atlanta Metropolitan Area,2,33.781549,-84.343017
"Greenbelt, MD",1,38.989266,-76.882325
"Chicago, IL",21,42.014,-87.6642
"Marlton, NJ",1,39.944181,-75.09833
"Santa Clara, CA",2,37.353103,-121.936229
"District of Columbia, United States",1,39.456471,-77.966298
"New Jersey, United States",2,40.83852,-74.09484
"Albany, NY",1,42.647849,-73.75265
"Manchester, NH",2,42.9443,-71.4524
"Canonsburg, PA",1,40.264035,-80.192707
Dallas-Fort Worth Metroplex,3,32.76174,-96.958668
"Mayfield Heights, OH",2,41.515855,-81.453413
"Des Moines, IA",4,41.534108,-93.616317
"East Hanover, NJ",1,40.8201,-74.36487
"Rancho Cucamonga, CA",1,34.12459,-117.56617
"Pomona, CA",1,10.6169,-71.633962
"Ann Arbor, MI",1,42.2832,-83.7888
"Littleton, CO",1,39.61778,-105.01389
